Australian Bureau of Statistics

"2021 Census - counting dwellings, place of enumeration"
"LGA (EN)"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"


"LGA (EN)",
"Albury",25430,
"Armidale Regional",12955,
"Ballina",20889,
"Balranald",1091,
"Bathurst Regional",18458,
"Bayside (NSW)",74840,
"Bega Valley",18867,
"Bellingen",6390,
"Berrigan",4265,
"Blacktown",133984,
"Bland",3107,
"Blayney",3246,
"Blue Mountains",35239,
"Bogan",1306,
"Bourke",1317,
"Brewarrina",740,
"Broken Hill",9591,
"Burwood",16201,
"Byron",16996,
"Cabonne",5895,
"Camden",39601,
"Campbelltown (NSW)",63128,
"Canada Bay",39121,
"Canterbury-Bankstown",133438,
"Carrathool",1312,
"Central Coast (NSW)",152870,
"Central Darling",1065,
"Cessnock",25812,
"Clarence Valley",26143,
"Cobar",2320,
"Coffs Harbour",34696,
"Coolamon",1974,
"Coonamble",1825,
"Cootamundra-Gundagai Regional",5510,
"Cowra",6267,
"Cumberland",83189,
"Dubbo Regional",22823,
"Dungog",4224,
"Edward River",4252,
"Eurobodalla",24600,
"Fairfield",67658,
"Federation",6546,
"Forbes",4373,
"Georges River",58429,
"Gilgandra",2137,
"Glen Innes Severn",4610,
"Goulburn Mulwaree",14739,
"Greater Hume Shire",4846,
"Griffith",10833,
"Gunnedah",5842,
"Gwydir",2443,
"Hawkesbury",25523,
"Hay",1552,
"Hilltops",9220,
"Hornsby",55952,
"Hunters Hill",5323,
"Inner West",85462,
"Inverell",8137,
"Junee",2519,
"Kempsey",14292,
"Kiama",10785,
"Ku-ring-gai",45894,
"Kyogle",4688,
"Lachlan",3014,
"Lake Macquarie",88908,
"Lane Cove",17340,
"Leeton",4705,
"Lismore",19781,
"Lithgow",10236,
"Liverpool",77895,
"Liverpool Plains",3694,
"Lockhart",1417,
"Maitland",35456,
"Mid-Coast",50474,
"Mid-Western Regional",12262,
"Moree Plains",6230,
"Mosman",13410,
"Murray River",6268,
"Murrumbidgee",1647,
"Muswellbrook",7333,
"Nambucca Valley",10016,
"Narrabri",5997,
"Narrandera",2694,
"Narromine",2851,
"Newcastle",74585,
"North Sydney",39034,
"Northern Beaches",105115,
"Oberon",2828,
"Orange",18706,
"Parkes",6697,
"Parramatta",106654,
"Penrith",81250,
"Port Macquarie-Hastings",40066,
"Port Stephens",35699,
"Queanbeyan-Palerang Regional",26549,
"Randwick",59965,
"Richmond Valley",10692,
"Ryde",55742,
"Shellharbour",29884,
"Shoalhaven",58799,
"Singleton",9838,
"Snowy Monaro Regional",12251,
"Snowy Valleys",7075,
"Strathfield",18287,
"Sutherland Shire",90981,
"Sydney",124114,
"Tamworth Regional",27725,
"Temora",2926,
"Tenterfield",3968,
"The Hills Shire",64080,
"Tweed",44661,
"Upper Hunter Shire",6793,
"Upper Lachlan Shire",4584,
"Uralla",2759,
"Wagga Wagga",28244,
"Walcha",1638,
"Walgett",2865,
"Warren",1228,
"Warrumbungle Shire",4739,
"Waverley",32850,
"Weddin",1869,
"Wentworth",3457,
"Willoughby",31175,
"Wingecarribee",23623,
"Wollondilly",18918,
"Wollongong",89476,
"Woollahra",26588,
"Yass Valley",6823,
"Unincorporated NSW",549,
"Migratory - Offshore - Shipping (NSW)",34,
"Alpine",7271,
"Ararat",5509,
"Ballarat",50347,
"Banyule",53031,
"Bass Coast",28981,
"Baw Baw",24522,
"Bayside (Vic.)",43102,
"Benalla",7211,
"Boroondara",72924,
"Brimbank",71871,
"Buloke",3397,
"Campaspe",17840,
"Cardinia",43533,
"Casey",122674,
"Central Goldfields",7004,
"Colac Otway",12460,
"Corangamite",7897,
"Darebin",68366,
